	Alcohol	Appellation	Bottle Size	Category	Date Published	Designation	Importer	Price	Variety	Winery	description	points	row	taster	title	url_i
43	14%	Vino Nobile di Montepulciano, Tuscany, Italy	750 ml	Red	4/1/2018	Asinone	Dalla Terra Winery Direct	$55,  Buy Now	Red Blend	Poliziano	Wild red berry, tilled soil, violet, new leather and a whiff of sandalwood slowly unfold on this fragrant red. The structured savory palate delivers dried black cherry, pomegranate, white pepper and clove framed in polished, fine-grained tannins. A hint of coffee lingers on the close. Drink 2020–2025.	94	44	Kerin O’Keefe	Poliziano 2015 Asinone  (Vino Nobile di Montepulciano)	https://www.winemag.com/buying-guide/poliziano-2015-asinone-vino-nobile-di-montepulciano/
44	14.5%	Douro, Portugal	750 ml	Red	4/1/2018	La Rosa Reserva	Winesellers, Ltd	$54,  Buy Now	Portuguese Red	Quinta de la Rosa	A selection made both of grapes in the vineyard and wines in the winery, this rich wine has power and density as well as superb fruits. The well-judged oak aging melds well with the dark fruits and acidity, while the tannins give strength and aging potential. Drink from 2021	94	45	Roger Voss	Quinta de la Rosa 2015 La Rosa Reserva Red (Douro)	https://www.winemag.com/buying-guide/quinta-de-la-rosa-2015-la-rosa-reserva-red-douro/
45	14.8%	Oakville, Napa, California, US	750 ml	Red	4/1/2018			$155,  Buy Now	Cabernet Sauvignon	Tierra Roja	This is a well-made, small-production wine from the producer's home estate. Inviting in perfumed oak, pencil and cedar, it has brawny power that remains elegant in the glass, with persistent acidity and layers of cassis and cinnamon.	94	46	Virginie Boone	Tierra Roja 2014 Cabernet Sauvignon (Oakville)	https://www.winemag.com/buying-guide/tierra-roja-2014-cabernet-sauvignon-oakville/
46	20%	Port, Portugal	750 ml	Port/Sherry	4/1/2018	Quinta da Cavadinha Vintage	Vineyard Brands	$65,  Buy Now	Port, Port Blend	Warre's	The style of Warre's Ports tends to dryness, and this fine quinta vintage is no exception. It's dry, but the rich fruit forms a great counterbalance. Dense, still young and bursting with perfumed blueberry fruits, the wine has great promise. Drink from 2027.	94	47	Roger Voss	Warre's 2015 Quinta da Cavadinha Vintage  (Port)	https://www.winemag.com/buying-guide/warres-2015-quinta-da-cavadinha-vintage-port/
47	14.1%	Sonoma Coast, Sonoma, California, US	750 ml	White	4/1/2018			$48,  Buy Now	Chardonnay	Blue Rock	This is a lovely light-bodied wine with serious intent and sophistication. Pear puree and apple skin mingle effortlessly along a plane of gravelly rocky mineral complexity that will show well with a variety of meals.	94	48	Virginie Boone	Blue Rock 2015 Chardonnay (Sonoma Coast)	https://www.winemag.com/buying-guide/blue-rock-2015-chardonnay-sonoma-coast/
48	12.5%	Franciacorta, Lombardy, Italy	750 ml	Sparkling	4/1/2018	Cuvée Annamaria Clementi	Santa Margherita USA	$90,  Buy Now	Sparkling Blend, Sparkling	Ca' del Bosco	Linear and elegant, this vibrancy of this sparkler belies its age. It opens with enticing scents of wild flower, orchard fruit, a hint of hazelnut and a whiff of pastry. The palate shows complexity, depth as well as freshness, delivering Golden Delicious apple, apricot, toasted bread crust and a hint of tangerine zest. Tangy acidity lifts the rich flavors while an elegant mousse lends finesse.	94	49	Kerin O’Keefe	Ca' del Bosco 2007 Cuvée Annamaria Clementi  (Franciacorta)	https://www.winemag.com/buying-guide/ca-del-bosco-2007-cuvee-annamaria-clementi-sparkling-franciacorta/
49	13%	Saint-Estèphe, Bordeaux, France	750 ml	Red	4/1/2018	Pagodes de Cos	Chateau Cos d'Estournel	$59,  Buy Now	Bordeaux-style Red Blend	Château Cos d'Estournel	This wine is dense, complex and with great tannins. It is powerful and rich, packed with black fruits. Good acidity gives the wine its freshness, its black-currant fruit and its potential longevity. Rich and with great aging potential, this is becoming a major wine in its own right rather than just a second wine of Cos d'Estournel. Drink from 2025.	94	50	Roger Voss	Château Cos d'Estournel 2015 Pagodes de Cos  (Saint-Estèphe)	https://www.winemag.com/buying-guide/chateau-cos-destournel-2015-pagodes-de-cos-saint-estephe/
50	14.5%	Stellenbosch, South Africa	750 ml	Red	4/1/2018	Fusion V	Cape Classics	$60,  Buy Now	Bordeaux-style Red Blend	De Toren	Deep, brooding scents of black plum, cherry and cassis form the soul of this beautiful, richly concentrated wine. Plenty of licorice, cigar-box spice and bittersweet cocoa ride atop the fruit core, while notes of green peppercorn, leather and tobacco flesh out the midpalate and flourish on the finish. The crushed-velvet texture offers ample tannic grip and balancing acidity to keep everything in harmony. While it's hard to resist now, this should shine from 2023–2028.	94	51	Lauren Buzzeo	De Toren 2015 Fusion V Red (Stellenbosch)	https://www.winemag.com/buying-guide/de-toren-2015-fusion-v-red-stellenbosch/
51	15%	Vino Nobile di Montepulciano, Tuscany, Italy	750 ml	Red	4/1/2018	Bossona	de Grazia Imports LLC	$45,  Buy Now	Red Blend	Dei	Aromas of mature black-skinned berry, baked plum, mint and violet mix with whiffs of dark culinary spice. The ripe chewy palate doles out raspberry jam, fleshy black cherry and licorice set against firm, polished tannins. The juicy fruit flavors deftly support the hefty alcohol. Drink through 2022.	94	52	Kerin O’Keefe	Dei 2012 Bossona  (Vino Nobile di Montepulciano)	https://www.winemag.com/buying-guide/dei-2012-bossona-vino-nobile-di-montepulciano/
52	9%	Mosel, Germany	750 ml	White	4/1/2018	Scharzhofberger Kabinett	Frederick Wildman &amp; Sons, Ltd	$84,  Buy Now	Riesling	Egon Müller	Musk and earthen complexities of smoke and struck flint meld into sun-kissed yellow cherry and tangerine in this seductive, complex kabinett. It's ethereal and sheer yet boldly penetrating, with a piercing lemon-lime finish. Delicious already but sure to improve through 2022 and hold well beyond.	94	53	Anna Lee C. Iijima	Egon Müller 2016 Scharzhofberger Kabinett Riesling (Mosel)	https://www.winemag.com/buying-guide/egon-muller-2016-scharzhofberger-kabinett-riesling-mosel/
53	13%	Franciacorta, Lombardy, Italy	750 ml	Sparkling	4/1/2018	Casa delle Colonne Brut Riserva	Selected Estates of Europe Ltd	$70,  Buy Now	Sparkling Blend, Sparkling	Fratelli Berlucchi	This gorgeous, radiant sparkler opens with enticing aromas of ripe orchard fruit, pressed wild flowers and cream-filled brioche. Elegantly sparkling, the bright palate delivers Golden Delicious apple, tangy lemon drop, Alpine herbs and minerals alongside tiny continuous bubbles. Fresh acidity brightens the rich flavors and lends impeccable balance.	94	54	Kerin O’Keefe	Fratelli Berlucchi 2010 Casa delle Colonne Brut Riserva  (Franciacorta)	https://www.winemag.com/buying-guide/fratelli-berlucchi-2010-casa-delle-colonne-brut-riserva-sparkling-franciacorta/
54	11%	Mosel, Germany	750 ml	White	4/1/2018	Wintricher Geierslay GW	Broadbent Selections, Inc	$32,  Buy Now	Riesling	Günther Steinmetz	Just a shade off dry in style, this feather-light dynamo offers bold, concentrated stone fruit and blossom tones, enveloped in rich, penetrating swathes of smoke and earth. It's a gorgeously complex wine, with spine tingling acidity and a delicate, lilting mouthfeel that extends endlessly on the finish. Drinks beautifully already but concentrated and structured enough to improve well through 2030.	94	55	Anna Lee C. Iijima	Günther Steinmetz 2016 Wintricher Geierslay GW Riesling (Mosel)	https://www.winemag.com/buying-guide/gunther-steinmetz-2016-wintricher-geierslay-gw-riesling-mosel/
55	13.8%	Ribbon Ridge, Willamette Valley, Oregon, US	750 ml	Red	4/1/2018	Bryce Vineyard		$63,  Buy Now	Pinot Noir	Ken Wright	Bright red fruits, sappy acids and citrus highlights combine here. The supporting tannins are ripe and toasty, with a slightly grainy mouthfeel. Suggestions of coffee grounds add further interest to the finish, which expands gracefully as it breathes. This is a wine still pulling itself together and clearly built to expand and improve with further bottle age. Drink now through 2030.	94	56	Paul Gregutt	Ken Wright 2015 Bryce Vineyard Pinot Noir (Ribbon Ridge)	https://www.winemag.com/buying-guide/ken-wright-2015-bryce-vineyard-pinot-noir-ribbon-ridge/
56	13.5%	Willamette Valley, Willamette Valley, Oregon, US	750 ml	Red	4/1/2018	Freedom Hill Vineyard		$63,  Buy Now	Pinot Noir	Ken Wright	Lovely black-cherry fruit is the highlight here, with aromatics that elevate the fruit with high-toned intensity. The wine is cloaked with chocolate from barrel aging, and detailed with coffee grounds, graphite and loam.	94	57	Paul Gregutt	Ken Wright 2015 Freedom Hill Vineyard Pinot Noir (Willamette Valley)	https://www.winemag.com/buying-guide/ken-wright-2015-freedom-hill-vineyard-pinot-noir-willamette-valley/
57	12%	Mosel, Germany	750 ml	White	4/1/2018	Kaseler Nies'chen GG Trocken	American B.D	$39,  Buy Now	Riesling	Reichsgraf von Kesselstatt	Hints of honey, caramelized sugar and ripe tangerine on the nose contrast a palate that's lean and bracingly mineral here. While light bodied and lean, zesty white grapefruit and tart pineapple flavors are piercing and persistent. Tasted in 2017, it's still a taut, nervous wine that needs time to meld. Hold till 2020.	94	58	Anna Lee C. Iijima	Reichsgraf von Kesselstatt 2016 Kaseler Nies'chen GG Trocken Riesling (Mosel)	https://www.winemag.com/buying-guide/reichsgraf-von-kesselstatt-2016-kaseler-nieschen-gg-trocken-riesling-mosel/
58	12.5%	Adelaide Hills, South Australia, Australia	750 ml	Red	4/1/2018		Craft + Estate The Winebow Group	$35,  Buy Now	Pinot Noir	Shaw and Smith	This is an excellent example why so many go crazy for Pinot Noir. The wine exudes a nourishing warmth that transports you to a cozy country kitchen, with bouquets of drying flowers and currants hanging from the rafters, szechuan beef sizzling in the stir fry, earthy sumac in the spice bowl and smoke from the dying embers of a campfire wafting in through the windows. It's silky and open enough to drink now, but should continue to age well through 2025.	94	59	Christina Pickard	Shaw and Smith 2014 Pinot Noir (Adelaide Hills)	https://www.winemag.com/buying-guide/shaw-and-smith-2014-pinot-noir-adelaide-hills/
59	13.4%	Chehalem Mountains, Willamette Valley, Oregon, US	750 ml	White	4/1/2018			$30,  Buy Now	Riesling	Alloro	The terrific texture and wealth of detail makes this truly exceptional. Citrus, mineral, candied pineapple and a hint of honey all combine in a long, dense and bright-tasting wine. In the spirit of Oregon's finest Rieslings, it's both sweet and tart, with a lively inviting mouthfeel.	93	60	Paul Gregutt	Alloro 2016 Riesling (Chehalem Mountains)	https://www.winemag.com/buying-guide/alloro-2016-riesling-chehalem-mountains/
60	13%	Franciacorta, Lombardy, Italy	750 ml	Sparkling	4/1/2018	Casa delle Colonne Zero	Selected Estates of Europe Ltd	$80,  Buy Now	Sparkling Blend, Sparkling	Fratelli Berlucchi	Aromas reminiscent of bread crust, nut and orchard fruit carry over to the vibrant linear palate along with pomegranate and citrus zest notes. Bright acidity and a lively elegant perlage provide support and energy.	92	61	Kerin O’Keefe	Fratelli Berlucchi 2010 Casa delle Colonne Zero  (Franciacorta)	https://www.winemag.com/buying-guide/fratelli-berlucchi-2010-casa-delle-colonne-zero-sparkling-franciacorta/
61	13.5%	Vino Nobile di Montepulciano, Tuscany, Italy	750 ml	Red	4/1/2018		Ideal Wine and Spirits	$23,  Buy Now	Red Blend	Gracciano della Seta	Woodland berry, dark culinary spice, tilled earth and new leather aromas combine with whiffs of aromatic herb on this fragrant graceful red. The vibrant palate is all about balance and finesse, offering strawberry, red cherry, star anise and a hint of white pepper balanced by bright acidity and polished tannins. If you love extreme elegance, this is for you. Drink through 2024.	92	62	Kerin O’Keefe	Gracciano della Seta 2014  Vino Nobile di Montepulciano	https://www.winemag.com/buying-guide/gracciano-della-seta-2014-vino-nobile-di-montepulciano/
62	13.8%	Galilee, Israel	750 ml	Red	4/1/2018	Special Edition	Allied Importers, USA, Ltd	$30,  Buy Now	Cabernet Sauvignon	Hayotzer	Inky red-violet in color, this wine offers aromas of black currant and blueberry. It fills the palate with flavors of cassis, blackberry, juniper and anise. Mildly stiff tannins recede into a bright finish, laced with touches of iodine and smoke.	92	63	Mike DeSimone	Hayotzer 2014 Special Edition Cabernet Sauvignon (Galilee)	https://www.winemag.com/buying-guide/hayotzer-2014-special-edition-cabernet-sauvignon-galilee/
63	13.8%	Galilee, Israel	750 ml	Red	4/1/2018	Virtuoso	Allied Importers, USA, Ltd	$25,  Buy Now	Merlot	Hayotzer	Deep garnet to the eye, this wine has a nose of lingonberry, raspberry and a touch of rosemary. Soft tannins provide a framework for flavors of tart cherry, strawberry, clove and chocolate, with a touch of smoked meat. The pleasing finish provides a lingering sense of brightness on the palate.	92	64	Mike DeSimone	Hayotzer 2014 Virtuoso Merlot (Galilee)	https://www.winemag.com/buying-guide/hayotzer-2014-virtuoso-merlot-galilee/
64	14.2%	Eola-Amity Hills, Willamette Valley, Oregon, US	750 ml	Red	4/1/2018	Pelos Sandberg Vineyard		$40,  Buy Now	Pinot Noir	Iota Cellars	The 40% new French oak seems just right, putting a toasty frame around robust black-cherry fruit. There's a spicy zip to the back-half flavors, and a clean lingering finish with highlights of mocha and smoke.	92	65	Paul Gregutt	Iota Cellars 2014 Pelos Sandberg Vineyard Pinot Noir (Eola-Amity Hills)	https://www.winemag.com/buying-guide/iota-cellars-2014-pelos-sandberg-vineyard-pinot-noir-eola-amity-hills/
65	13.5%	Stellenbosch, South Africa	750 ml	White	4/1/2018	Nine Yards	Pascal/Schildt Selections	$50,  Buy Now	Chardonnay	Jardin	A robust and flavorful Chardonnay, this exhibits superb balance between the ripe fruit, woodspice and vibrant acidity. Notes of baked apple, clove-spiked orange, toasted hazelnut and peach pit abound on the nose and palate, with added hits of citrus pith, honeysuckle and lemon verbena that add grace and elegance. It's medium in weight, with a lightly textured grip and lively acidity that lifts the sweet-spiced finish. It's hard to resist now, but should mature well through 2023.	92	66	Lauren Buzzeo	Jardin 2015 Nine Yards Chardonnay (Stellenbosch)	https://www.winemag.com/buying-guide/jardin-2015-nine-yards-chardonnay-stellenbosch/
66	15.5%	Napa Valley, Napa, California, US	750 ml	Red	4/1/2018	Revelist		$50,  Buy Now	Cabernet Sauvignon	Joseph Carr	This wine has a classic nose of pencil shavings, cedar and ripe black plum, following through on the palate in similar fashion. Full bodied and highly concentrated, it layers in flavors of cherry compote and dark chocolate.	92	67	Virginie Boone	Joseph Carr 2014 Revelist Cabernet Sauvignon (Napa Valley)	https://www.winemag.com/buying-guide/joseph-carr-2014-revelist-cabernet-sauvignon-napa-valley/
67	14.7%	Moon Mountain District Sonoma County, Sonoma, California, US	750 ml	Red	4/1/2018	Estate Vineyard		$78,  Buy Now	Merlot	Ledson	From the winery's Mountain Terrace Vineyard 1,700-feet up, this is a floral, subdued and brightly woven red wine. Vanilla and milk chocolate flavors provide a richness and likability, with a pronounced bite of oak and tannin on the finish.	92	68	Virginie Boone	Ledson 2014 Estate Vineyard Merlot (Moon Mountain District Sonoma County)	https://www.winemag.com/buying-guide/ledson-2014-estate-vineyard-merlot-moon-mountain-district-sonoma-county/
68	14.9%	Sonoma Coast, Sonoma, California, US	750 ml	White	4/1/2018	Bella Vigna		$45,  Buy Now	Chardonnay	Martinelli	This wine has inviting caramel-apple aromatics, which follow along a subdued palate of ripe texture and oak. A brightness of orange blossom and tangerine add freshness and vibrancy to the lush fig-filled surroundings, dotted in nutmeg.	92	69	Virginie Boone	Martinelli 2015 Bella Vigna Chardonnay (Sonoma Coast)	https://www.winemag.com/buying-guide/martinelli-2015-bella-vigna-chardonnay-sonoma-coast/
69	7.5%	Mosel, Germany	750 ml	White	4/1/2018	Abtsberg Kabinett Grosse Lage	Loosen Bros. USA	$36,  Buy Now	Riesling	Maximin Grünhäuser	Heady aromas of sun-kissed mango, peach and melon are cut by blades of steel and stone in this captivating kabinett. It's delightfully spry in texture, offering loads of crisp-tart yellow peach and nectarine flavors highlighted against streaks of lime acidity. The finish is fresh and mineral-laden.	92	70	Anna Lee C. Iijima	Maximin Grünhäuser 2016 Abtsberg Kabinett Grosse Lage Riesling (Mosel)	https://www.winemag.com/buying-guide/maximin-grunhauser-2016-abtsberg-kabinett-grosse-lage-riesling-mosel/
70	14.6%	Chehalem Mountains, Willamette Valley, Oregon, US	750 ml	Red	4/1/2018	Black Love		$70,  Buy Now	Pinot Noir	Megan Anne	This reserve-level best-barrel blend spent 16 months in 40% new oak. It's dark, chewy and toasty, with black cherry, black coffee and dark chocolate all in the mix of flavors. A solid and substantial wine, it drinks well young and may best be consumed over the next five years.	92	71	Paul Gregutt	Megan Anne 2015 Black Love Pinot Noir (Chehalem Mountains)	https://www.winemag.com/buying-guide/megan-anne-2015-black-love-pinot-noir-chehalem-mountains/
71	14%	Ribera del Duero, Northern Spain, Spain	750 ml	Red	4/1/2018	Finca Matambres	Europvin USA	$40,  Buy Now	Tempranillo	Monteabellón	Ripe berry aromas with a touch of root beer are lush and soft. That is not the case on the palate, which is tight in the middle and scratchy along the edges. Blueberry and black-currant flavors are a touch minty, while this wine displays chocolate and lemon-peel notes on a tough, pulling finish. Drink through 2030.	92	72	Michael Schachner	Monteabellón 2012 Finca Matambres  (Ribera del Duero)	https://www.winemag.com/buying-guide/monteabellon-2012-finca-matambres-ribera-del-duero/
72	13.5%	Monterey, Central Coast, California, US	750 ml	White	4/1/2018	Metallico Unoaked		$22,  Buy Now	Chardonnay	Morgan	This is a stainless steel bottling done right. Citrusy aromas of lime peel, orange pith, just-ripe Asian pear and a flash of sweet butter show on the nose. The texture is phenomenally grippy on the sip, where flavors of crushed chalk meet with yuzu zest, nectarine and white peach, remain brisk throughout. Pink-grapefruit zest carries the finish.	92	73	Matt Kettmann	Morgan 2015 Metallico Unoaked Chardonnay (Monterey)	https://www.winemag.com/buying-guide/morgan-2015-metallico-unoaked-chardonnay-monterey/
73	14%	Dundee Hills, Willamette Valley, Oregon, US	750 ml	Red	4/1/2018	Durant Vineyard Madrone Block		$42,  Buy Now	Pinot Noir	Patricia Green Cellars	This is based upon a single Dijon 115 clone, and delivers potent ripe black-cherry flavors. It's a full-throttle bottle, textural and lightly touched with dried seaweed. The barrel aging adds a welcome touch of chocolate to the powerful tannic finish.	92	74	Paul Gregutt	Patricia Green Cellars 2016 Durant Vineyard Madrone Block Pinot Noir (Dundee Hills)	https://www.winemag.com/buying-guide/patricia-green-cellars-2016-durant-vineyard-madrone-block-pinot-noir-dundee-hills/
74	13.6%	Chehalem Mountains, Willamette Valley, Oregon, US	750 ml	White	4/1/2018	Avellana Vineyard		$63,  Buy Now	Chardonnay	Ponzi	This bright, big and mouthfilling wine was fermented with wild yeast, which seems to infuse it with a dollop of mystery. Ultraripe lemon and grapefruit come with a hint of marshmallow and plenty of toasted-peanut flavors. It finds a smooth runway and coasts gently to a gliding stop, with those toasty flavors still resonating.	92	75	Paul Gregutt	Ponzi 2015 Avellana Vineyard Chardonnay (Chehalem Mountains)	https://www.winemag.com/buying-guide/ponzi-2015-avellana-vineyard-chardonnay-chehalem-mountains/
75	13.5%	Douro, Portugal	750 ml	Red	4/1/2018	Post Scriptum de Chryseia	Premium Port Wines, Inc	$26,  Buy Now	Portuguese Red	Prats &amp; Symington LDA	Based at Quinta de Roriz in the Douro, this wine is produced by a joint venture between the Prats family of Bordeaux and the Symington family of the Douro. Made as a second wine to Chryseia, it is soft and rich, with great tannins and ripe fruit. Black currants and acidity go together with a young, dry core. Drink from 2020.	92	76	Roger Voss	Prats & Symington LDA 2015 Post Scriptum de Chryseia Red (Douro)	https://www.winemag.com/buying-guide/prats-symington-lda-2015-post-scriptum-de-chryseia-red-douro/
